elster-kromschroeder can-bus address scanner and test utility
copyright (c) 2014 Jürg Müller, CH-5524

  { 0x180, 0x07c3, 0x0005},  // I_REKUPERATOR: 5
  { 0x180, 0x07c4, 0x0014},  // D_REKUPERATOR: 20
  { 0x180, 0x07c5, 0x0014},  // MIN_REGELDYNAMIK: 20
  { 0x180, 0x07c6, 0x0003},  // TAU_REGELDYNAMIK: 3
  { 0x180, 0x07c7, 0x0046},  // EXV_OEFFNUNGSGRAD_MIN: 70
  { 0x180, 0x07c8, 0x03e8},  // EXV_OEFFNUNGSGRAD_MAX: 1000
  { 0x180, 0x07c9, 0x0014},  // EXV_TOTZONE: 20
  { 0x180, 0x07ca, 0x0000},  // EXV_OEFFNUNGSGRAD: 0
  { 0x180, 0x07cb, 0x0007},  // PARAMETERSATZ: 7
  { 0x180, 0x07cc, 0x00b4},  // TIEFPASS_ND: 180
  { 0x180, 0x07cf, 0x03e8},  // OEFFNUNGSGRAD_ABTAUEN: 1000
  { 0x180, 0x07d0, 0x0000},  // DRUCKDIFFERENZ_ABTAUEN: 0
  { 0x180, 0x07d1, 0x0000},  // OEFFNUNGSGRAD_HANDBETRIEB: 0
  { 0x180, 0x07d2, 0x0046},  // GRENZDRUCK_PUMPDOWN: 70
  { 0x180, 0x07d3, 0x000a},  // INJEKTION_PUMPDOWN: 10
  { 0x180, 0x07d4, 0x0000},  // UMSCHALTUNG_VERFLUESSIGERTEMP: 0
  { 0x180, 0x07d5, 0x0000},  // UMSCHALTUNG_TAUPUNKTTEMP: 0
  { 0x180, 0x07d6, 0x0000},  // KALIBRIERUNG_ON_OFF: 0
  { 0x180, 0x07d7, 0x0064},  // STARTZAHL_BIS_KALIBRIERUNG: 100
  { 0x180, 0x07d8, 0x0064},  // LAUFZEIT_BIS_KALIBRIERUNG: 100
  { 0x180, 0x07d9, 0x0000},  // ARBEITSPUNKT_KALIBRIERUNG: 0
  { 0x180, 0x07da, 0x0014},  // OEG_KALIBRIERUNG_FAKTOR: 20
  { 0x180, 0x07db, 0x003c},  // KALIBRIERDAUER: 60
  { 0x180, 0x07dc, 0x001e},  // KALIBRIERABWEICHUNG_GRENZ: 30
  { 0x180, 0x07dd, 0x003c},  // KALIBRIERABWEICHUNG_ABSCHALTUNG: 60
  { 0x180, 0x07de, 0x0190},  // FREIGABE_AUSSENTEMP_ZWISCHENEINSPRITZUNG: 400
  { 0x180, 0x07df, 0x0078},  // NIEDERDRUCK_MOP_ND: 120
